id,filename,photographer,title,description
1,photo1.jpg,John Doe,Sunset at the Beach,A beautiful sunset captured at the beach
2,photo2.jpg,Jane Smith,Mountain View,Breathtaking view of mountains in the morning
3,photo3.jpg,Alex Johnson,City Lights,Night view of the city skyline
4,photo4.jpg,Sarah Williams,Forest Path,A serene path through the dense forest
5,photo5.jpg,Michael Brown,Ocean Waves,Powerful ocean waves crashing on rocks
6,photo6.jpg,Emily Davis,Desert Landscape,Vast desert landscape at sunset
7,photo7.jpg,David Wilson,Autumn Colors,Vibrant autumn colors in a forest
8,photo8.jpg,Lisa Anderson,Wildlife,A rare capture of wildlife in natural habitat
9,photo9.jpg,Robert Taylor,Architecture,Modern architectural marvel in downtown
10,photo10.jpg,Jennifer Martinez,Macro Photography,Close-up shot of a water droplet on a leaf
